date,revenue,new_users_revenue,new_users_revenue_share,old_users_revenue_share
24/08/22,49924,49924,100.0,0.0
25/08/22,430860,417333,96.86,3.14
26/08/22,534766,463326,86.64,13.36
27/08/22,817053,619318,75.8,24.2
28/08/22,1133370,801162,70.69,29.31
29/08/22,1279891,717374,56.05,43.95
30/08/22,1279377,656429,51.31,48.69
31/08/22,1312720,720381,54.88,45.12
01/09/22,1406101,757287,53.86,46.14
02/09/22,1907107,1017824,53.37,46.63
03/09/22,2210988,1079256,48.81,51.19
04/09/22,2294009,1063997,46.38,53.62
05/09/22,1784690,714459,40.03,59.97
06/09/22,1330931,495058,37.2,62.8
07/09/22,1807800,710154,39.28,60.72
08/09/22,2099508,887959,42.29,57.71
